NAME,lon,lat
"Sioux Falls, SD",-96.990,43.500
"Baraboo, WI",-89.948,43.427
"Roanoke, VA",-79.947,37.286
"Wichita Falls, TX",-98.491,33.775
"Fort Payne, AL",-85.804,34.460
"Atlanta-Sandy Springs-Roswell, GA",-84.400,33.693
"Idaho Falls, ID",-112.428,43.623
"Burlington-South Burlington, VT",-73.031,44.687
"Huntington-Ashland, WV-KY-OH",-82.379,38.381
"Centralia, WA",-122.393,46.578
"Baltimore-Columbia-Towson, MD",-76.581,39.338
"Little Rock-North Little Rock-Conway, AR",-92.397,34.757
"Syracuse, NY",-76.034,43.154
"Evansville, IN-KY",-87.579,37.971
"Vidalia, GA",-82.412,32.142
"Asheville, NC",-82.683,35.601
"Charleston, WV",-81.492,38.272
"Barnstable Town, MA",-70.291,41.724
"Grand Forks, ND-MN",-96.844,47.836
"Yuma, AZ",-113.906,32.769
"Phoenix-Mesa-Scottsdale, AZ",-112.070,33.186
"Toledo, OH",-83.782,41.498
"Jasper, IN",-87.035,38.379
"Louisville/Jefferson County, KY-IN",-85.671,38.337
"Santa Rosa, CA",-122.887,38.528
"Alexandria, LA",-92.542,31.331
"Greenwood, MS",-90.106,33.498
"Elizabeth City, NC",-76.312,36.296
"Sulphur Springs, TX",-95.564,33.150
"Boulder, CO",-105.358,40.092
"Sikeston, MO",-89.569,37.053
"Arcadia, FL",-81.809,27.186
"Picayune, MS",-89.590,30.769
"Cleveland, MS",-90.880,33.796
"New Orleans-Metairie, LA",-89.958,29.925
"Silver City, NM",-108.382,32.739
"Springfield, IL",-89.697,39.830
"Ponce, PR",-66.684,18.059
"Kingsville, TX",-97.711,27.116
"Plattsburgh, NY",-73.678,44.746
"Marshall, MO",-93.202,39.137
"The Villages, FL",-82.081,28.705
"Butte-Silver Bow, MT",-112.657,45.902
"Moberly, MO",-92.497,39.440
"Shawnee, OK",-96.948,35.207
"Opelousas, LA",-92.006,30.599
"Campbellsville, KY",-85.328,37.366
"Seattle-Tacoma-Bellevue, WA",-121.851,47.557
"Rochester, NY",-77.508,42.966
"Pensacola-Ferry Pass-Brent, FL",-87.156,30.688
"East Stroudsburg, PA",-75.339,41.058
"Vincennes, IN",-87.418,38.689
"Shreveport-Bossier City, LA",-93.669,32.490
"Madison, WI",-89.592,43.080
"Clarksville, TN-KY",-87.563,36.747
"El Paso, TX",-105.541,31.513
"Paducah, KY-IL",-88.672,37.138
"Waycross, GA",-82.366,31.138
"Easton, MD",-76.097,38.771
"Grants Pass, OR",-123.555,42.365
"St. Cloud, MN",-94.472,45.586
"San Angelo, TX",-100.673,31.364
"Safford, AZ",-109.887,32.933
"Fresno, CA",-119.649,36.758
"Kill Devil Hills, NC",-76.002,35.798
"Kirksville, MO",-92.573,40.289
"Red Bluff, CA",-122.234,40.126
"Bend-Redmond, OR",-121.228,43.915
"Jacksonville, TX",-95.165,31.837
"Kapaa, HI",-159.596,22.040
"Vineland-Bridgeton, NJ",-75.111,39.374
"Lake Havasu City-Kingman, AZ",-113.758,35.704
"Prescott, AZ",-112.554,34.600
"Houma-Thibodaux, LA",-90.666,29.484
"Aberdeen, WA",-123.774,47.150
"Mount Sterling, KY",-83.749,38.052
"Monroe, MI",-83.537,41.929
"Ocala, FL",-82.057,29.210
"Sheridan, WY",-106.879,44.790
"Tyler, TX",-95.269,32.375
"Price, UT",-110.589,39.648
"State College, PA",-77.820,40.919
"Peru, IN",-86.045,40.769
"Pullman, WA",-117.523,46.901
"Missoula, MT",-113.924,47.037
"Escanaba, MI",-86.924,45.919
"Dyersburg, TN",-89.414,36.059
"Brownsville-Harlingen, TX",-97.518,26.133
"Marinette, WI-MI",-87.831,45.467
"Brunswick, GA",-81.637,31.312
"Beaumont-Port Arthur, TX",-94.072,30.304
"Alpena, MI",-83.626,45.035
"St. Joseph, MO-KS",-94.784,39.834
"Oklahoma City, OK",-97.504,35.430
"Marquette, MI",-87.642,46.431
"Hartford-West Hartford-East Hartford, CT",-72.577,41.735
"Albany, GA",-84.174,31.589
"New York-Newark-Jersey City, NY-NJ-PA",-74.087,40.921
"Knoxville, TN",-84.137,36.045
"Bismarck, ND",-100.991,46.727
"Las Vegas-Henderson-Paradise, NV",-115.014,36.215
"La Crosse-Onalaska, WI-MN",-91.320,43.779
"Cumberland, MD-WV",-78.804,39.532
"Batesville, AR",-91.570,35.742
"Klamath Falls, OR",-121.650,42.686
"Richmond, VA",-77.474,37.462
"Nashville-Davidson--Murfreesboro--Franklin, TN",-86.724,36.089
"Corsicana, TX",-96.472,32.047
"Eufaula, AL-GA",-85.337,31.869
"Crossville, TN",-84.998,35.950
"Fort Collins, CO",-105.461,40.666
"Newport, TN",-83.121,35.925
"Madera, CA",-119.763,37.218
"Duluth, MN-WI",-92.409,47.333
"Wilmington, NC",-77.901,34.467
"Greenville, NC",-77.374,35.593
"Lakeland-Winter Haven, FL",-81.698,27.949
"Binghamton, NY",-76.025,42.165
"Savannah, GA",-81.302,32.131
"Deming, NM",-107.750,32.182
"Jacksonville, NC",-77.432,34.732
"Cleveland, TN",-84.667,35.135
"Elkins, WV",-79.876,38.775
"Truckee-Grass Valley, CA",-120.768,39.301
"Rocky Mount, NC",-77.798,35.941
"Elizabethtown-Fort Knox, KY",-85.974,37.738
"Provo-Orem, UT",-112.353,39.865
"Washington, IN",-87.072,38.702
"Lewisburg, TN",-86.765,35.469
"Chambersburg-Waynesboro, PA",-77.721,39.927
"Marietta, OH",-81.495,39.455
"Kokomo, IN",-86.117,40.484
"Borger, TX",-101.355,35.840
"Del Rio, TX",-101.152,29.893
"Morgan City, LA",-91.443,29.705
"Hilo, HI",-155.518,19.599
"Mankato-North Mankato, MN",-94.136,44.154
"Clearlake, CA",-122.753,39.100
"Bremerton-Silverdale, WA",-122.672,47.613
"El Dorado, AR",-92.597,33.171
"Connersville, IN",-85.179,39.640
"Kennett, MO",-90.091,36.272
"Laredo, TX",-99.332,27.761
"Lancaster, PA",-76.248,40.042
"Brevard, NC",-82.798,35.202
"Bardstown, KY",-85.466,37.805
"Olympia-Tumwater, WA",-122.833,46.926
"Plainview, TX",-101.827,34.071
